"CentreProfit";"Valeur_EnCours";"LEN_CP";"Semaine";"Erreur"
"732032";"-287,32";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"732032";"-91,72";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"732025";"-15048,29";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"732010";"-511,01";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"732022";"-59,09";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"732024";"-26,8";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"732024";"-364";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"7320240";"1326";"7";"41";"LEN_CP.compareTo(6) == 0 failed"
"7320240";"123";"7";"41";"LEN_CP.compareTo(6) == 0 failed"
"7732024";"215";"7";"41";"LEN_CP.compareTo(6) == 0 failed"
"32024";"654";"5";"41";"LEN_CP.compareTo(6) == 0 failed"
"73202";"6321";"5";"41";"LEN_CP.compareTo(6) == 0 failed"
"732024";"0";"6";"41";"Valeur_EnCours.compareTo(0) > 0 failed"
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
"";"";"";"";""
